hash,timestamp,datetime,seller,gas_used,tx_fee_eth,total_price_eth,nft_collection,nft_token_id,nft_token_address,nft_type,buyer
0xeda14ca1df9c38831a9f2981cc75b921bafa5f568206084871c41eca7e6afdee,1746784547,2025-05-09 09:55:47,0x9F9801dB5b70E4De552630d1DF245eF8b20ea4DE,310101,0.003224167725102489,0.000181,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x37bcb1172d3abf7c6200ca9a383274b4eb9a6b8682157078ae36f5bcc965efc4,1746780539,2025-05-09 08:48:59,0x0F26Db5eBad6283bCcEB07bC82CbC5873cDFa57D,513801,0.018704199935457234,0.000591,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x37bcb1172d3abf7c6200ca9a383274b4eb9a6b8682157078ae36f5bcc965efc4,1746780539,2025-05-09 08:48:59,0x0F26Db5eBad6283bCcEB07bC82CbC5873cDFa57D,513801,0.018704199935457234,0.000591,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x0da3c2e7e2c88c68c9cd0b4ccb45153f453d71f9f1148d14e3898c0e0e3e21b6,1746776471,2025-05-09 07:41:11,0xbDe039b94Afdcd6f8096A8cDC4Af73e370a0bb76,269137,0.001426365080451949,0.000234,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xb73dc76723542c835159f71779faef5dfbfba6601669f558bb6b4e90ba683a2a,1746776363,2025-05-09 07:39:23,0x7E390073dc148615E1733e2d4C0d313860c98A1F,269089,0.001546293381299323,0.000238,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x2c44172f5fd93153d375ebe9df33739af422abf3971dffc4e4640cb8cf29c9fb,1746773915,2025-05-09 06:58:35,0xD3b142AE75E9FaeC0384D458C4A54C00F96Bc4D2,275866,0.000436040309761734,0.00018,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xc7e34651ce1e00ca9a4c1c447a485b701a17121ae4e08745a0404257b7b90b8b,1746773363,2025-05-09 06:49:23,0x1800C3c84c4B05AB1566d44d453B665428648C17,275878,0.0005083441689736,0.0002,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xa6c1d45bea83674a2d4e4afe7492c02530851571b548dbc31383b365e52626e2,1746773147,2025-05-09 06:45:47,0xa25931511e5314C3FF57B618E1360b5F6CaeEFe2,271102,0.000616895605623466,0.0002,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0x842a3c2167ed6259d992996f36180182c450b48479e1a550523b5549ff21e041,1746767315,2025-05-09 05:08:35,0xDBC16C72D875a52C4ace6b95963B86C481a24400,259210,0.00042012284882274,0.000125,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xe716aa88d894dca8fce8d01ddfc8a40f2727a251ee5bfd40318d2948c71bbe1d,1746767231,2025-05-09 05:07:11,0xDBC16C72D875a52C4ace6b95963B86C481a24400,259210,0.00043161108138449,0.000125,Unknown,0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,ERC20,0x00ca04c45da318d5b7e7b14d5381ca59f09c73f0
0xca3bb664467a4e4bab30db55575fd8b8c4b9e23da680e9a161013f5ee8e8c3d0,1742382395,2025-03-19 11:06:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,231881,0.000230632384350394,1e-18,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x7aea64efaa7609e12a89682d25498c9ec55a1d9d4cae740c4dc21e9d3969c917,1739222111,2025-02-10 21:15:11,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,258986,0.000348990418879284,5e-15,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xfc9fb79c74942991140064b3b7bf44501c36d3b1f6e076f36bea390bd9b153fe,1738137023,2025-01-29 07:50:23,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,249053,0.000437814972813064,3.6792e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xf339254cc73c3499a4a6b2e364f7f9c7db18593f8744eb67ed2aee1d022cd68f,1738091759,2025-01-28 19:15:59,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,244181,0.001616976966285387,3.9e-17,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x7612f3bd5c46a9fbeadbf10d820428c2292b47d3db0b9038870d49cebb62cf49,1738067219,2025-01-28 12:26:59,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,239453,0.000718359,1.7075e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x0a9127b5f75a961533a420a9606452699877c36ce970da9a7eef520b73d1c333,1737981071,2025-01-27 12:31:11,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,258974,0.001812818,2.802e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xe252a9116b3b647cc64b0b8f39b6893fcba907b7c82e638c057284f656a000a3,1737786719,2025-01-25 06:31:59,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,239477,0.001109719250851778,7.2445e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
